jobId,date,timestamp,baseline_mode,room_type,processing_mode,retry_attempt,final_outcome,opening_count_baseline,opening_count_candidate,opening_resize_pct,opening_visibility_reduction_pct,opening_relocation_pct_proxy,opening_issue_types,opening_hardFail,opening_pass,unified_score,unified_verdict,unified_hardFail,source_file
job_a54cb97f-3e46-4508-a555-6ad5f450de4d,2026-06-03,2026-06-03T08:33:47.186848076Z,unknown,bedroom,from_empty_or_initial,0,complete,3,3,,,0.0,opening_relocated|opening_resized|opening_resized_minor,,,0.808,pass,,logs.1780475965355.log
job_2a539fb3-462b-4240-8a30-c376a691368e,2026-06-04,2026-06-04T03:27:02.738090016Z,unknown,dining_room,from_empty_or_initial,0,complete,2,3,,,0.0,opening_resized|opening_resized_minor,,,0.808,pass,,logs.1780543989985.log
job_57e4a486-6279-407a-9a97-63befacc2919,2026-06-04,2026-06-04T03:27:03.823524725Z,unknown,bedroom,from_empty_or_initial,0,complete,3,3,,,0.0,,,,0.808,pass,,logs.1780543989985.log
job_ba45ea02-680d-4dd3-850c-7bda7faf3d65,2026-06-04,2026-06-04T03:27:04.842662686Z,unknown,bedroom,from_empty_or_initial,0,complete,3,3,,,0.0,opening_relocated|opening_resized|opening_resized_minor,,,0.808,pass,,logs.1780543989985.log
job_6704f869-7e09-4069-8246-2d77d889b588,2026-06-04,2026-06-04T21:37:11.232714017Z,single_pass,bedroom,from_empty_or_initial,0,complete,2,2,,,0.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.808,pass,,logs.1780610139372.log
job_f36b4e4d-977a-42b1-b2c2-189ff45be0a2,2026-06-04,2026-06-04T23:03:20.666900576Z,single_pass,bedroom,from_empty_or_initial,0,complete,2,2,,,0.0,opening_resized|opening_resized_minor,,,1.0,pass,,logs.1780614356602.log
job_f4717a6d-6e69-438d-9efc-9b8d548164fb,2026-06-10,2026-06-10T08:11:04.392603523Z,single_pass,living_dining,from_empty_or_initial,1,complete,5,5,79.4,,0.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781080123069.log
job_fa7092b1-30b1-4540-94e5-af79e64106c3,2026-06-10,2026-06-10T08:16:36.711938550Z,single_pass,living_dining,retry_stage2_only,1,complete,5,5,27.6,,40.0,opening_relocated|opening_removed|opening_resized,,,0.802,pass,,logs.1781080123069.log
job_a8b56888-f511-4334-b9c2-4ba5222c5292,2026-06-10,2026-06-10T08:52:41.623797338Z,single_pass,unknown,from_empty_or_initial,1,complete,5,5,30.9,,0.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781215761750.log
job_258dfbda-7810-4102-81c8-5e5964edda45,2026-06-10,2026-06-10T09:03:33.146728529Z,single_pass,living_dining,retry_stage2_only,0,complete,5,5,,,20.0,,,,0.8,pass,,logs.1781215761750.log
job_615b426d-b2fd-4b44-888b-52caae720803,2026-06-10,2026-06-10T22:34:40.294027694Z,single_pass,bedroom,from_empty_or_initial,1,complete,2,2,,,0.0,,,,0.808,pass,,logs.1781215761750.log
job_b9a952c0-e6fa-42f7-9e67-649dd66f37e0,2026-06-10,2026-06-10T22:34:40.294063887Z,single_pass,bedroom,from_empty_or_initial,1,complete,2,2,,,50.0,opening_occlusion|opening_resized|opening_resized_minor,,,1.0,pass,,logs.1781215761750.log
job_24e7809e-f094-48af-96da-d19219f3cdf2,2026-06-10,2026-06-10T22:34:42.005279020Z,single_pass,living_dining,from_empty_or_initial,1,complete,4,4,,,0.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781215761750.log
job_05d0e161-dcb2-4a51-b4e5-2d245ce0691d,2026-06-10,2026-06-10T22:34:48.662097456Z,single_pass,bedroom,from_empty_or_initial,1,complete,2,2,,,50.0,opening_relocated|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781215761750.log
job_1b06a380-9832-4bcb-9624-da9906170c6e,2026-06-10,2026-06-10T22:38:13.952812099Z,single_pass,bedroom,retry_stage2_only,0,complete,2,2,,,0.0,,,,0.796,pass,,logs.1781215761750.log
job_ccfc5e12-399c-479c-adf7-a2aa5db2d421,2026-06-10,2026-06-10T22:38:38.896556711Z,single_pass,bedroom,retry_stage2_only,0,complete,2,2,,,100.0,,,,0.778,pass,,logs.1781215761750.log
job_42b1f18c-6a2a-400d-b392-86ba4d0ec410,2026-06-10,2026-06-10T22:39:39.274625449Z,single_pass,living_dining,retry_stage2_only,1,complete,4,4,,,0.0,,,,0.988,fail,,logs.1781215761750.log
job_74575ead-6839-4166-929d-0cceae6f0423,2026-06-11,2026-06-11T23:32:41.983824447Z,single_pass,bedroom,from_empty_or_initial,0,complete,1,1,,,0.0,opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781224601398.log
job_be4a2ffe-4579-41b2-848d-ba8db14d1004,2026-06-11,2026-06-11T23:32:41.983869928Z,single_pass,bedroom,from_empty_or_initial,0,complete,1,2,,,100.0,opening_resized,,,0.807,pass,,logs.1781224601398.log
job_535e808f-922e-4c2e-afe8-6727f7e50ccd,2026-06-11,2026-06-11T23:32:42.202459688Z,single_pass,bedroom,from_empty_or_initial,0,complete,2,2,,,50.0,opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781224601398.log
job_7f20da5f-35fb-480b-9efe-81b0bcee56c4,2026-06-11,2026-06-11T23:32:44.994516902Z,single_pass,living_room,from_empty_or_initial,1,complete,1,1,,,0.0,opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781224601398.log
job_82c8bf11-0b02-4b3b-b2e7-25cb2e4763be,2026-06-11,2026-06-11T23:38:03.153278851Z,single_pass,living_room,retry_stage2_only,1,complete,1,1,,,100.0,opening_relocated,,,0.991,pass,,logs.1781224601398.log
